W.Length,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 1,Tumor beforePDT 2,Tumor beforePDT 2,Tumor beforePDT 2,Tumor beforePDT 2,Tumor edge beforePDT,Tumor edge beforePDT,Tumor edge beforePDT,Tumor edge beforePDT,Tumor edge beforePDT,doctor's hand (norm),doctor's hand (norm),doctor's hand (norm),TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,TumorAFTER PDT,Tumor edge AFTER PDT,Tumor edge AFTER PDT,Tumor edge AFTER PDT,doctor's hand (norm),doctor's hand (norm),doctor's hand (norm)
322.9333333,-212.6751284,-211.1213764,-210.3439969,-211.5936342,-210.966457,-211.745073,-209.2505906,-211.9178037,-212.4157271,-214.0218966,-213.0977938,-213.528051,-213.3564176,-212.7606411,-213.9453879,-213.3899661,-215.2214016,-215.1400793,-215.4450384,-216.0096263,-48.57411485,-48.09620687,-49.50221825,-47.88852033,-46.52194914,-49.84469199,-50.70696749,-49.37253352,-49.37253352,-50.23329305,-49.41647153,-50.18367417,-49.04772032,-50.46831596,-49.32888517,-47.90630056,-50.3479443,-50.28952947
323.2444444,-208.3315317,-205.9273926,-204.7823273,-206.5195507,-205.8743911,-206.73568,-203.3504282,-207.3167115,-208.4645649,-211.177063,-209.2955067,-211.9996064,-211.144815,-210.3671074,-210.575464,-211.0869357,-212.5005653,-213.1427138,-213.6875738,-215.0209937,-50.15824337,-49.48402568,-51.0430552,-49.19957206,-47.68883728,-51.27570077,-52.22231762,-50.69611497,-50.69611497,-51.33607586,-50.79371845,-51.55122968,-50.81742394,-52.03456779,-50.69530123,-49.4823147,-51.56258139,-51.9860223
323.5555556,-202.6080318,-199.3028935,-197.8602972,-200.0997183,-199.4856977,-200.3017679,-196.0849814,-201.3806588,-203.2280046,-207.2060807,-204.2617908,-209.6968926,-207.9873862,-206.9566102,-206.0526821,-207.7212759,-208.8014159,-210.2461318,-211.0002094,-213.4383385,-51.87575014,-51.07344129,-52.7301619,-50.62942025,-49.03635661,-52.81488972,-53.93184281,-52.30480516,-52.30480516,-52.58061342,-52.24490928,-53.16302068,-52.94282748,-53.97266493,-52.36782344,-51.63745678,-53.14860602,-54.19986056
323.8666667,-195.2796026,-191.1236922,-189.484648,-192.1928267,-191.6943342,-192.2761916,-187.4191238,-193.890502,-196.4226404,-201.6608405,-197.7077283,-206.0609907,-203.4318427,-202.0848676,-200.0347729,-202.8521205,-203.7445318,-205.9507961,-206.8611604,-210.6685582,-53.21145117,-52.34313265,-54.05507958,-51.66909277,-50.14377415,-53.95091208,-55.28900961,-53.6830729,-53.6830729,-53.49624653,-53.25140987,-54.52528521,-54.75295146,-55.62836098,-53.73282399,-53.58256865,-54.46679007,-56.19953513
324.1777778,-186.3718326,-181.5258044,-179.7962743,-182.8954906,-182.620174,-182.742219,-177.5570799,-184.8813794,-188.0001199,-194.3067468,-189.5699865,-200.6946655,-197.2184012,-195.5130874,-192.4042661,-196.2617258,-197.1408238,-199.9315636,-200.9426733,-206.2551808,-53.92522508,-53.04715405,-54.78529043,-52.09454962,-50.81994159,-54.46120566,-56.02816483,-54.5758629,-54.5758629,-53.88023388,-53.59795911,-55.40367122,-55.86877535,-56.62938391,-54.45568448,-54.81972639,-55.16503978,-57.54763034
324.4888889,-176.2108887,-170.9378742,-169.2014299,-172.5797117,-172.6409055,-172.0749837,-166.9597262,-174.695304,-178.2090198,-185.2231285,-180.0779671,-193.4861454,-189.3763146,-187.3033078,-183.3460768,-188.0492696,-189.0744469,-192.1465916,-193.2234959,-200.0098015,-54.03869671,-53.20096545,-54.9464201,-51.94768211,-51.08060847,-54.3921666,-56.15368257,-54.97257622,-54.97257622,-53.77415721,-53.35288769,-55.8015969,-56.21146807,-56.8912795,-54.48328217,-55.17291207,-55.18148741,-58.12051313
324.8,-165.3847446,-160.0251183,-158.3217491,-161.8469989,-162.3450079,-160.8964906,-156.2807303,-163.9415844,-167.5697059,-174.8159656,-169.7356554,-184.6520628,-180.2363075,-177.8270815,-173.3367672,-178.6333157,-179.9044065,-182.8655612,-184.0143046,-192.0658437,-53.75552512,-52.99921113,-54.73801974,-51.44872486,-51.07368818,-53.96969336,-55.85898959,-55.0265735,-55.0265735,-53.37716545,-52.77468024,-55.8769751,-55.93216065,-56.54752993,-53.97286614,-54.73130365,-54.66992972,-58.04275231
325.1111111,-154.6317628,-149.5642505,-147.8811476,-151.4167476,-152.4232334,-149.9612843,-146.2432721,-153.3807754,-156.7753594,-163.7467387,-159.2290189,-174.69718,-170.3645738,-167.6934407,-163.0546771,-168.669691,-170.192758,-172.6187507,-173.8978597,-182.8502251,-53.34921095,-52.7006965,-54.41874418,-50.87680017,-50.98448095,-53.47759129,-55.41088498,-54.94594241,-54.94594241,-52.93284487,-52.18311237,-55.83376488,-55.29774675,-55.83889071,-53.18141523,-53.73868979,-53.88363173,-57.57087097
325.4222222,-144.691224,-140.2865908,-138.563806,-141.9832825,-143.5314814,-140.0074552,-137.494626,-143.7677514,-146.5510781,-152.8019404,-149.2885133,-164.3089201,-160.4436837,-157.6223516,-153.2401516,-158.9128616,-160.5858341,-162.0880186,-163.6069085,-172.9888308,-53.05589699,-52.51980813,-54.19984855,-50.4587916,-50.95331168,-53.14490755,-55.03874906,-54.89390794,-54.89390794,-52.62851768,-51.83764404,-55.82628098,-54.57345849,-55.0022657,-52.35489528,-52.47146958,-53.05926893,-56.96927237
325.7333333,-136.1579428,-132.732789,-130.8828589,-134.081898,-136.1631267,-131.6143475,-130.4797992,-135.698218,-137.5114183,-142.7402914,-140.5454487,-154.218465,-151.1365546,-148.3011644,-144.5456816,-150.0608938,-151.6843859,-151.9726935,-153.8760356,-163.1758091,-53.00212051,-52.55567176,-54.17741025,-50.29824666,-51.02884311,-53.07452886,-54.86054652,-54.92828171,-54.92828171,-52.53607928,-51.85753888,-55.90419112,-53.9367822,-54.1923357,-51.65008825,-51.14318294,-52.33566416,-56.41605721
